k;n;cmp;swap
first;1000;4501;1477
middle;1000;4056;1491
last;1000;4621;1587
first;2000;9039;3213
middle;2000;9297;3245
last;2000;8650;3170
first;3000;14680;4849
middle;3000;15021;4854
last;3000;16139;4862
first;4000;18092;6488
middle;4000;18929;6558
last;4000;19748;6656
first;5000;23445;7919
middle;5000;23789;8071
last;5000;23711;8108
first;6000;23972;9747
middle;6000;25275;9668
last;6000;25977;9768
first;7000;34523;11175
middle;7000;36109;11394
last;7000;37258;11455
first;8000;38102;12849
middle;8000;38349;12802
last;8000;41035;13001
first;9000;43656;14519
middle;9000;44446;14310
last;9000;46425;14800
first;10000;41964;16301
middle;10000;45703;16166
last;10000;45542;16403
first;11000;45285;18183
middle;11000;45102;18121
last;11000;48984;17766
first;12000;49018;19603
middle;12000;49026;19720
last;12000;48664;19697
first;13000;56966;21075
middle;13000;58310;21148
last;13000;56348;21187
first;14000;69400;23109
middle;14000;69539;22774
last;14000;67025;22729
first;15000;63690;24742
middle;15000;64513;24763
last;15000;63439;24647
first;16000;75952;25951
middle;16000;72997;26264
last;16000;72644;26302
first;17000;78301;27456
middle;17000;80684;27559
last;17000;82212;27340
first;18000;88475;29185
middle;18000;90266;29204
last;18000;91399;28593
first;19000;91570;31062
middle;19000;93173;31171
last;19000;98577;30852
first;20000;93163;33132
middle;20000;94412;33015
last;20000;95374;33107
first;21000;91383;34685
middle;21000;88390;34477
last;21000;93361;34495
first;22000;100550;36323
middle;22000;101879;36181
last;22000;101915;36141
first;23000;114396;37819
middle;23000;118605;37837
last;23000;122239;37726
first;24000;112901;39464
middle;24000;117505;39373
last;24000;108191;39420
first;25000;102295;40964
middle;25000;103355;41094
last;25000;108040;40898
first;26000;116870;43186
middle;26000;109635;41905
last;26000;109695;42383
first;27000;127967;44680
middle;27000;126689;44550
last;27000;114879;44293
first;28000;128630;46545
middle;28000;123776;46413
last;28000;122933;45834
first;29000;140509;47513
middle;29000;135571;47582
last;29000;137052;47191
first;30000;139978;49201
middle;30000;136883;49500
last;30000;127918;48348
first;31000;148494;50296
middle;31000;164102;51007
last;31000;156186;50785
first;32000;140731;52952
middle;32000;139607;53242
last;32000;134572;52618
first;33000;174960;54724
middle;33000;163936;54642
last;33000;164786;54618
first;34000;175098;55538
middle;34000;175212;55370
last;34000;172840;55242
first;35000;166853;57926
middle;35000;158882;57647
last;35000;157836;57758
first;36000;155854;59008
middle;36000;156433;59016
last;36000;159292;59104
first;37000;142494;59890
middle;37000;159991;60879
last;37000;152800;60718
first;38000;179458;62314
middle;38000;185393;62665
last;38000;180199;62302
first;39000;187845;64120
middle;39000;169443;64124
last;39000;175380;64046
first;40000;177127;65066
middle;40000;181660;66086
last;40000;171364;65982
first;41000;195087;67837
middle;41000;196779;67648
last;41000;202923;67786
first;42000;166357;65755
middle;42000;180059;69198
last;42000;183554;69756
first;43000;194708;71196
middle;43000;203417;70428
last;43000;207860;70807
first;44000;216314;72230
middle;44000;198015;72987
last;44000;203790;72814
first;45000;207082;73951
middle;45000;204356;74410
last;45000;197039;74323
first;46000;231090;73809
middle;46000;232207;75615
last;46000;245404;75560
first;47000;189388;76704
middle;47000;200458;77444
last;47000;188763;77104
first;48000;246233;78951
middle;48000;241368;78720
last;48000;239209;78632
first;49000;234064;79875
middle;49000;242540;80768
last;49000;250499;80766
first;50000;280719;82496
middle;50000;265064;82464
last;50000;261039;82235
