k;ktype;n;cmp;swap;time
3;first;1000;98522;96145;45
3;first;2000;357667;351714;54
3;first;3000;802982;792556;61
3;first;4000;1386367;1374877;66
3;first;5000;2081376;2065516;73
3;first;6000;3051771;3031055;75
3;first;7000;4152037;4126854;85
3;first;8000;5357345;5333558;88
3;first;9000;6952777;6926240;101
3;first;10000;8422943;8388631;106
3;first;11000;10083197;10041823;116
3;first;12000;12054618;12017133;120
3;first;13000;14275801;14237359;127
3;first;14000;16588877;16533994;138
3;first;15000;18999792;18954105;140
3;first;16000;21574141;21514528;149
3;first;17000;24690711;24627965;156
3;first;18000;27352556;27293533;164
3;first;19000;30704373;30636170;173
3;first;20000;33797917;33712167;186
3;first;21000;37663793;37592259;193
3;first;22000;40349654;40272079;211
3;first;23000;44268274;44180901;218
3;first;24000;48017831;47927563;227
3;first;25000;52430503;52345641;215
3;first;26000;56665336;56589298;242
3;first;27000;61571024;61493437;261
3;first;28000;65505205;65405052;267
3;first;29000;70457443;70366271;277
3;first;30000;76344560;76246870;299
3;first;31000;80526520;80428305;308
3;first;32000;85395537;85303613;320
3;first;33000;90801011;90699046;312
3;first;34000;97555740;97452918;343
3;first;35000;102116540;102002045;349
3;first;36000;108258057;108117336;383
3;first;37000;114493191;114381675;395
3;first;38000;121078330;120950265;417
3;first;39000;127731909;127607512;428
3;first;40000;133718693;133579368;450
3;first;41000;140305001;140166055;465
3;first;42000;147577119;147434559;491
3;first;43000;154308809;154165127;502
3;first;44000;160463116;160304676;503
3;first;45000;170172976;170042800;484
3;first;46000;177717524;177540769;560
3;first;47000;183393919;183200561;564
3;first;48000;191929657;191772363;592
3;first;49000;199394380;199218881;526
3;first;50000;208209340;208035368;624
3;middle;1000;96296;93228;42
3;middle;2000;356020;349282;53
3;middle;3000;772022;762238;61
3;middle;4000;1399230;1384715;69
3;middle;5000;2132744;2117315;74
3;middle;6000;3006684;2990477;84
3;middle;7000;4174508;4152489;85
3;middle;8000;5399759;5375069;89
3;middle;9000;6866145;6833582;96
3;middle;10000;8309590;8274008;111
3;middle;11000;10142203;10099666;108
3;middle;12000;11968726;11920669;121
3;middle;13000;14092302;14048756;138
3;middle;14000;16290730;16240493;143
3;middle;15000;18777332;18733579;150
3;middle;16000;21324290;21274671;155
3;middle;17000;24299372;24245409;157
3;middle;18000;27047291;26980960;180
3;middle;19000;30506981;30439887;171
3;middle;20000;33334575;33254185;178
3;middle;21000;36591030;36523840;194
3;middle;22000;40120467;40055874;207
3;middle;23000;44648958;44574046;222
3;middle;24000;47965804;47892103;230
3;middle;25000;52221229;52145130;237
3;middle;26000;56763509;56675373;254
3;middle;27000;61099436;61003586;254
3;middle;28000;65477328;65375303;276
3;middle;29000;70196042;70115759;281
3;middle;30000;74310951;74207399;302
3;middle;31000;80004649;79900997;306
3;middle;32000;85386970;85264811;330
3;middle;33000;91371369;91262049;307
3;middle;34000;96297950;96191382;356
3;middle;35000;102284187;102178790;361
3;middle;36000;107504354;107361018;386
3;middle;37000;115030559;114883078;407
3;middle;38000;120009898;119879353;430
3;middle;39000;127356889;127228059;431
3;middle;40000;132924122;132805543;440
3;middle;41000;140615075;140480514;468
3;middle;42000;146781728;146626555;476
3;middle;43000;153556978;153419524;490
3;middle;44000;161419984;161256424;499
3;middle;45000;168914136;168773532;476
3;middle;46000;176997687;176851029;571
3;middle;47000;185411967;185231457;512
3;middle;48000;193136941;192965754;591
3;middle;49000;199411514;199213680;612
3;middle;50000;209097584;208904139;622
3;last;1000;91918;88962;43
3;last;2000;363533;357504;56
3;last;3000;781546;772502;66
3;last;4000;1420906;1407730;68
3;last;5000;2128878;2113523;75
3;last;6000;2985428;2965378;75
3;last;7000;4226630;4209350;84
3;last;8000;5437819;5412991;95
3;last;9000;6855456;6830243;96
3;last;10000;8506505;8478987;106
3;last;11000;10013714;9978401;104
3;last;12000;11995104;11950746;123
3;last;13000;14134836;14097726;136
3;last;14000;16522169;16466083;136
3;last;15000;18854497;18802431;142
3;last;16000;21514072;21466635;155
3;last;17000;24052227;23989653;159
3;last;18000;27217103;27152346;163
3;last;19000;30170078;30105517;191
3;last;20000;33594775;33528903;197
3;last;21000;36906320;36831946;202
3;last;22000;40374837;40302285;205
3;last;23000;44261338;44183440;210
3;last;24000;48269502;48184795;231
3;last;25000;52282153;52196757;239
3;last;26000;56884255;56793265;242
3;last;27000;61154303;61059215;270
3;last;28000;66435124;66344816;272
3;last;29000;70783830;70688327;283
3;last;30000;75352378;75253588;299
3;last;31000;80654039;80550239;285
3;last;32000;85459598;85350267;304
3;last;33000;89961522;89847734;340
3;last;34000;96805810;96704129;355
3;last;35000;103655290;103528155;373
3;last;36000;108499712;108386180;379
3;last;37000;113319963;113204649;392
3;last;38000;120728651;120606486;408
3;last;39000;126973041;126840078;436
3;last;40000;134075461;133923216;443
3;last;41000;141005056;140859263;464
3;last;42000;148750594;148610778;479
3;last;43000;155248699;155087810;491
3;last;44000;160732524;160589748;495
3;last;45000;169510299;169353004;531
3;last;46000;176350750;176184732;550
3;last;47000;184073713;183897368;559
3;last;48000;193630588;193469058;602
3;last;49000;200754732;200582641;621
