n;x;cmp;time
1000;1;11;27
2000;1;10;30
3000;1;10;35
4000;1;11;39
5000;1;12;43
6000;1;11;46
7000;1;11;49
8000;1;14;53
9000;1;13;56
10000;1;15;52
11000;1;13;57
12000;1;13;58
13000;1;13;58
14000;1;15;59
15000;1;13;62
16000;1;15;61
17000;1;14;68
18000;1;15;70
19000;1;14;69
20000;1;14;68
21000;1;15;70
22000;1;14;70
23000;1;14;71
24000;1;15;73
25000;1;14;68
26000;1;17;73
27000;1;14;72
28000;1;16;81
29000;1;17;80
30000;1;16;85
31000;1;16;83
32000;1;14;79
33000;1;15;84
34000;1;14;81
35000;1;15;84
36000;1;16;86
37000;1;15;87
38000;1;15;80
39000;1;15;77
40000;1;14;82
41000;1;16;97
42000;1;15;89
43000;1;14;87
44000;1;15;92
45000;1;15;89
46000;1;15;90
47000;1;15;92
48000;1;15;85
49000;1;14;89
50000;1;18;91
51000;1;15;90
52000;1;15;93
53000;1;17;90
54000;1;15;95
55000;1;15;92
56000;1;14;93
57000;1;15;99
58000;1;17;92
59000;1;15;94
60000;1;14;93
61000;1;17;97
62000;1;15;98
63000;1;17;107
64000;1;15;91
65000;1;17;92
66000;1;15;100
67000;1;17;98
68000;1;16;106
69000;1;16;97
70000;1;16;96
71000;1;17;96
72000;1;16;101
73000;1;16;102
74000;1;14;101
75000;1;17;101
76000;1;18;103
77000;1;16;106
78000;1;15;105
79000;1;16;103
80000;1;17;104
81000;1;16;106
82000;1;16;103
83000;1;16;110
84000;1;15;108
85000;1;16;104
86000;1;16;110
87000;1;17;106
88000;1;16;108
89000;1;16;106
90000;1;16;111
91000;1;16;112
92000;1;16;109
93000;1;16;111
94000;1;17;111
95000;1;17;121
96000;1;16;111
97000;1;16;114
98000;1;17;115
99000;1;16;118
100000;1;18;121
1000;1000;17;29
2000;2000;17;31
3000;3000;16;35
4000;4000;15;38
5000;5000;18;44
6000;6000;18;46
7000;7000;17;48
8000;8000;22;50
9000;9000;20;50
10000;10000;18;62
11000;11000;15;54
12000;12000;20;58
13000;13000;20;59
14000;14000;25;63
15000;15000;10;55
16000;16000;18;62
17000;17000;16;66
18000;18000;20;66
19000;19000;18;70
20000;20000;19;75
21000;21000;20;70
22000;22000;25;73
23000;23000;17;75
24000;24000;19;78
25000;25000;22;76
26000;26000;17;78
27000;27000;24;76
28000;28000;24;76
29000;29000;11;78
30000;30000;18;74
31000;31000;28;80
32000;32000;19;80
33000;33000;26;85
34000;34000;25;79
35000;35000;18;86
36000;36000;26;86
37000;37000;25;83
38000;38000;20;88
39000;39000;25;90
40000;40000;20;86
41000;41000;29;91
42000;42000;27;86
43000;43000;20;92
44000;44000;20;82
45000;45000;29;89
46000;46000;21;87
47000;47000;28;89
48000;48000;16;85
49000;49000;19;92
50000;50000;28;90
51000;51000;21;86
52000;52000;20;95
53000;53000;28;90
54000;54000;29;92
55000;55000;26;94
56000;56000;25;89
57000;57000;19;97
58000;58000;25;89
59000;59000;20;92
60000;60000;23;98
61000;61000;30;98
62000;62000;21;93
63000;63000;28;100
64000;64000;30;95
65000;65000;30;97
66000;66000;26;94
67000;67000;24;100
68000;68000;21;99
69000;69000;20;96
70000;70000;20;99
71000;71000;21;102
72000;72000;26;99
73000;73000;20;101
74000;74000;23;104
75000;75000;17;105
76000;76000;22;100
77000;77000;24;104
78000;78000;28;103
79000;79000;26;99
80000;80000;19;105
81000;81000;22;102
82000;82000;27;106
83000;83000;30;108
84000;84000;31;105
85000;85000;19;109
86000;86000;28;105
87000;87000;22;106
88000;88000;15;107
89000;89000;27;110
90000;90000;30;110
91000;91000;28;114
92000;92000;17;111
93000;93000;19;110
94000;94000;21;118
95000;95000;20;113
96000;96000;27;111
97000;97000;23;115
98000;98000;21;115
99000;99000;27;118
100000;100000;20;114
1000;1999;17;29
2000;3999;19;32
3000;5999;24;35
4000;7999;24;36
5000;9999;26;44
6000;11999;26;45
7000;13999;23;46
8000;15999;25;55
9000;17999;27;54
10000;19999;25;53
11000;21999;28;56
12000;23999;28;58
13000;25999;28;61
14000;27999;28;59
15000;29999;27;61
16000;31999;28;67
17000;33999;30;63
18000;35999;30;70
19000;37999;30;69
20000;39999;27;68
21000;41999;30;61
22000;43999;30;70
23000;45999;29;73
24000;47999;25;74
25000;49999;29;78
26000;51999;30;76
27000;53999;30;74
28000;55999;29;69
29000;57999;29;78
30000;59999;30;82
31000;61999;30;80
32000;63999;29;85
33000;65999;32;83
34000;67999;31;76
35000;69999;32;83
36000;71999;32;84
37000;73999;32;87
38000;75999;32;85
39000;77999;32;88
40000;79999;32;86
41000;81999;31;81
42000;83999;32;90
43000;85999;31;89
44000;87999;32;85
45000;89999;32;95
46000;91999;31;83
47000;93999;29;87
48000;95999;32;85
49000;97999;31;86
